Wall time,Step,Value
1638938986.7637687,9,-0.736377477645874
1638938990.641859,19,-0.8674277067184448
1638938994.4602256,29,-0.9104827642440796
1638938998.273965,39,-0.9520099759101868
1638939002.1283484,49,-0.9662129878997803
1638939005.9934814,59,-0.9599425792694092
1638939009.8526871,69,-0.9669727087020874
1638939013.9580324,79,-0.9744675755500793
1638939018.0181296,89,-0.9764288663864136
1638939021.8277898,99,-0.973161518573761
1638939025.7279713,109,-0.9718894958496094
1638939029.7051718,119,-0.976062536239624
1638939033.6533065,129,-0.9385416507720947
1638939037.5509953,139,-0.94962477684021
1638939041.442862,149,-0.954609751701355
1638939045.6159496,159,-0.9690495133399963
1638939049.5441194,169,-0.9849039912223816
1638939053.4274986,179,-0.9665001034736633
1638939057.302787,189,-0.9902836084365845
1638939061.2378824,199,-0.9896770715713501
1638939065.4354448,209,-0.9899658560752869
1638939069.7731483,219,-0.9921860694885254
1638939074.1101289,229,-0.9798235893249512
1638939078.4511893,239,-0.9863592386245728
1638939082.7758849,249,-0.9928598403930664
1638939087.0605466,259,-0.9958375096321106
1638939091.3594012,269,-0.9907255172729492
1638939095.676549,279,-0.9915140271186829
1638939099.9688323,289,-0.993308424949646
1638939104.2882118,299,-0.9873768091201782
1638939108.5999644,309,-0.9917430877685547
1638939112.8875191,319,-0.987625002861023
1638939117.2028744,329,-0.9937395453453064
1638939121.4802544,339,-0.9936083555221558
1638939125.7741168,349,-0.9939010739326477
1638939130.0374668,359,-0.9896500110626221
1638939134.335717,369,-0.9938109517097473
1638939138.5952833,379,-0.994078516960144
1638939142.8863685,389,-0.9950105547904968
1638939147.1900582,399,-0.9813607931137085
1638939151.4723828,409,-0.9900164604187012
1638939155.8301284,419,-0.9896800518035889
1638939159.8700109,429,-0.9957109093666077
1638939164.106371,439,-0.9840831756591797
1638939168.3976,449,-0.9941076040267944
1638939172.707485,459,-0.9841344952583313
1638939177.043559,469,-0.9936554431915283
1638939181.3390348,479,-0.9837055802345276
1638939185.7053213,489,-0.9896020889282227
1638939190.0337431,499,-0.9844195246696472
1638939194.3729522,509,-0.9877752065658569
1638939199.0118866,519,-0.9905969500541687
1638939203.3387687,529,-0.9956544637680054
1638939207.6346033,539,-0.9873594045639038
