Wall time,Step,Value
1638945969.7909317,9,-0.85353684425354
1638945972.2914796,19,-0.9477076530456543
1638945974.550983,29,-0.9682446122169495
1638945976.6961408,39,-0.9845154285430908
1638945978.840566,49,-0.9770033359527588
1638945981.6316679,59,-0.9786774516105652
1638945984.2263722,69,-0.9607865810394287
1638945986.9905071,79,-0.9100785255432129
1638945989.8920517,89,-0.9312015771865845
1638945992.0399163,99,-0.9323999881744385
1638945994.4121382,109,-0.8934116959571838
1638945996.8808982,119,-0.9287837743759155
1638945999.4775352,129,-0.9270728826522827
1638946001.8263013,139,-0.9234151840209961
1638946005.271704,149,-0.9736011624336243
1638946007.7034795,159,-0.984815776348114
1638946009.887726,169,-0.9785705804824829
1638946012.171579,179,-0.9832006096839905
1638946014.6500895,189,-0.9745486378669739
1638946017.0479455,199,-0.9881116151809692
1638946019.2615416,209,-0.9767756462097168
1638946021.5265656,219,-0.9868530631065369
1638946023.5860484,229,-0.9878503084182739
1638946025.6911945,239,-0.9884576797485352
1638946027.74629,249,-0.9781877994537354
1638946029.7770197,259,-0.9727128148078918
1638946031.8778841,269,-0.9837362170219421
1638946034.6201885,279,-0.9859552383422852
1638946037.3947628,289,-0.9874970316886902
1638946039.5189703,299,-0.9702295064926147
1638946041.686098,309,-0.98760586977005
1638946044.2414825,319,-0.9650914072990417
1638946046.5592306,329,-0.9419389963150024
1638946049.1917486,339,-0.9389029741287231
1638946051.404735,349,-0.9919981956481934
1638946053.6455114,359,-0.9781787395477295
1638946055.8932376,369,-0.991430401802063
1638946058.5692668,379,-0.9750642776489258
1638946060.8415933,389,-0.9695937633514404
1638946063.0280402,399,-0.8970078229904175
1638946065.2961822,409,-0.9486355781555176
1638946067.4672036,419,-0.9769768118858337
1638946069.593612,429,-0.9883517026901245
1638946071.7669241,439,-0.9750286936759949
1638946073.94132,449,-0.9915503263473511
1638946076.041398,459,-0.9871301054954529
1638946078.150482,469,-0.9890122413635254
1638946080.421958,479,-0.9874663352966309
1638946082.7112975,489,-0.9887593388557434
1638946084.9412055,499,-0.9685582518577576
1638946087.184549,509,-0.963714063167572
1638946089.4263268,519,-0.9723927974700928
1638946091.7196496,529,-0.9482556581497192
1638946093.980761,539,-0.959884524345398
1638946096.2675781,549,-0.9707876443862915
1638946098.426847,559,-0.9546923041343689
1638946100.7030652,569,-0.9041081666946411
1638946102.9119,579,-0.9598084688186646
1638946105.4919693,589,-0.9733819961547852
1638946107.6511972,599,-0.9838854670524597
1638946109.8665576,609,-0.9848726391792297
1638946112.0039186,619,-0.9666858911514282
1638946114.136237,629,-0.9550164937973022
1638946116.3070107,639,-0.9800856113433838
1638946119.1253123,649,-0.9277995228767395
1638946121.4348502,659,-0.9813665747642517
1638946123.6608717,669,-0.9856110215187073
1638946125.8263402,679,-0.9589366316795349
1638946128.1264465,689,-0.9758034944534302
1638946130.3636465,699,-0.977088212966919
1638946132.5766325,709,-0.9934771060943604
1638946134.8797088,719,-0.9823176264762878
1638946137.1117344,729,-0.9784530997276306
1638946139.3132057,739,-0.9590592980384827
1638946141.4289594,749,-0.9541357755661011
1638946143.6301363,759,-0.9468134641647339
1638946145.7815223,769,-0.9563949704170227
1638946147.8742836,779,-0.9539477825164795
1638946149.9714692,789,-0.8926138877868652
1638946152.129309,799,-0.9790915250778198
1638946154.5432189,809,-0.9359450340270996
1638946157.1641853,819,-0.9650899171829224
1638946159.2706208,829,-0.9505324363708496
1638946161.5202572,839,-0.9781177043914795
1638946163.702199,849,-0.9788061380386353
1638946165.9156692,859,-0.9506314992904663
1638946168.1344273,869,-0.9823055267333984
1638946170.3496978,879,-0.9365307092666626
1638946172.5169613,889,-0.9639745950698853
1638946174.6825757,899,-0.950223982334137
1638946176.9267185,909,-0.9502016305923462
1638946179.1370997,919,-0.9872724413871765
1638946181.3570557,929,-0.9838364720344543
1638946183.5754886,939,-0.9845395684242249
1638946185.8118637,949,-0.9486998915672302
1638946188.0860765,959,-0.9582966566085815
1638946190.392152,969,-0.9670228958129883
1638946192.6069357,979,-0.9815844297409058
1638946194.9017096,989,-0.9756677746772766
1638946197.2100756,999,-0.9661765694618225
1638946199.418762,1009,-0.9725145101547241
1638946201.5723996,1019,-0.9846035838127136
1638946203.801652,1029,-0.9854106903076172
1638946205.9866722,1039,-0.9815157055854797
1638946208.1105986,1049,-0.9806241989135742
1638946210.266461,1059,-0.9910745024681091
1638946212.479934,1069,-0.9617742896080017
1638946214.7381387,1079,-0.9924978613853455
1638946217.3774164,1089,-0.9547033905982971
1638946220.135023,1099,-0.9838005304336548
1638946222.4501646,1109,-0.9832661151885986
1638946224.6954515,1119,-0.989106297492981
1638946227.04942,1129,-0.9846006631851196
1638946229.4294205,1139,-0.9852461218833923
1638946231.7327275,1149,-0.9933527112007141
1638946233.8465824,1159,-0.9863537549972534
1638946236.0447395,1169,-0.9809596538543701
1638946238.1602504,1179,-0.9863248467445374
1638946240.2927291,1189,-0.979491651058197
1638946242.4644427,1199,-0.9633027911186218
1638946244.6297467,1209,-0.9845653772354126
1638946246.7238123,1219,-0.9703232049942017
1638946248.8350887,1229,-0.991430938243866
1638946251.0949848,1239,-0.9847552180290222
1638946253.3287046,1249,-0.9293603301048279
1638946255.4227571,1259,-0.9871840476989746
1638946257.6068764,1269,-0.9804816246032715
1638946259.8131323,1279,-0.9813008308410645
1638946262.0490644,1289,-0.9839968085289001
1638946264.2570221,1299,-0.9823706150054932
1638946266.5332484,1309,-0.9762018918991089
1638946268.7714753,1319,-0.9690929651260376
1638946271.0253587,1329,-0.9907194972038269
1638946273.2637565,1339,-0.9780573844909668
1638946275.503212,1349,-0.9634289145469666
1638946277.6559045,1359,-0.9884176254272461
1638946279.8290756,1369,-0.9865280389785767
1638946282.0487137,1379,-0.9685095548629761
1638946284.2065318,1389,-0.9826196432113647
1638946286.3077862,1399,-0.9580966234207153
1638946288.435931,1409,-0.9765511751174927
1638946290.5483792,1419,-0.9725441932678223
1638946292.7399936,1429,-0.9829354286193848
1638946295.1065187,1439,-0.9732440710067749
1638946297.2111604,1449,-0.98514324426651
1638946299.3791497,1459,-0.9900427460670471
1638946301.5893095,1469,-0.9863215684890747
1638946303.8364155,1479,-0.9798030853271484
1638946306.0446963,1489,-0.9866064786911011
1638946308.2894082,1499,-0.9667017459869385
1638946310.5844877,1509,-0.9648905992507935
1638946312.7556171,1519,-0.9955891966819763
1638946314.8581917,1529,-0.9850381016731262
1638946317.0533097,1539,-0.9874522089958191
1638946319.234141,1549,-0.9744726419448853
1638946321.3239915,1559,-0.9831527471542358
1638946323.4457557,1569,-0.9759336709976196
1638946325.574,1579,-0.9822242856025696
1638946327.662049,1589,-0.9899513721466064
1638946329.8799694,1599,-0.9931290149688721
1638946332.0589404,1609,-0.9890755414962769
1638946334.1531787,1619,-0.9917146563529968
1638946336.36908,1629,-0.9638384580612183
1638946338.5110536,1639,-0.9898550510406494
1638946340.8295257,1649,-0.9941948652267456
1638946342.9342973,1659,-0.9887694120407104
1638946345.040663,1669,-0.9912961721420288
1638946347.2115295,1679,-0.9825891852378845
1638946349.335796,1689,-0.9897781610488892
1638946351.5762284,1699,-0.9741959571838379
1638946353.8189297,1709,-0.9748464822769165
1638946356.0479462,1719,-0.9911651611328125
1638946358.2749531,1729,-0.9769482612609863
1638946360.5615482,1739,-0.9894305467605591
1638946362.8281913,1749,-0.9873241186141968
